p_range,p1_start,p1_end,p2_start,p2_end,p3_start,p3_end,p4_start,p4_end,min_range,max_range
1.5,1,16470,22670,41190,51510,59150,0,0,1,2
10,1,13240,26800,41930,51510,67310,74680,90160,9.5,10.5
11,20,16010,22680,39120,54660,70020,78100,92600,10.5,11.5
12,40,16440,26830,41160,53600,67910,0,0,11.5,12.5
13,50,14360,26840,41140,55680,69980,0,0,12.5,13.5
14,70,16410,30970,43190,59810,74000,0,0,13.5,14.5
15,80,14330,24810,39050,53650,67890,0,0,14.5,15.5
2.5,0,0,22670,38050,47390,62940,0,0,2,3
20,120,16350,26910,41070,57810,71970,0,0,19.5,20.5
25,150,16200,26930,38980,51650,65770,0,0,24.5,25.5
2,1,16470,24730,40070,49110,65910,74170,90240,1.5,2.5
3.5,0,0,21960,37040,53100,68100,77170,93280,3,4
30,170,16310,31070,43090,57850,71000,0,0,29.5,30.5
35,180,16110,29020,43080,55810,67790,0,0,34.5,35.5
3,0,0,22670,39130,49490,63820,73210,96300,2.5,3.5
4.5,0,0,21270,37200,45190,60180,67720,83760,4,5
40,190,16290,29030,43070,53910,67430,0,0,39.5,40.5
4,0,0,22450,37070,46100,62730,68930,85820,3.5,4.5
5.5,0,0,21070,36950,49700,65310,74170,91790,5,6
50,200,18330,0,0,0,0,0,0,49.5,50.5
5,0,0,23100,37630,48510,65390,72210,87710,4.5,5.5
6.5,0,0,22070,36860,47390,61810,69390,84450,6,7
60,550,13860,0,0,0,0,0,0,59.5,60.5
6,0,0,20610,36430,49910,65420,74180,96810,5.5,6.5
7.5,0,0,24730,40680,51220,65910,74170,88970,7,8
7,0,0,23180,39130,49510,63850,72110,88570,6.5,7.5
8.5,0,0,20610,36430,45870,61870,70990,86510,8,9
8,0,0,20480,35010,46440,61790,69750,85010,7.5,8.5
9.5,1,24710,30910,45490,57690,76210,0,0,9,10
9,0,0,21800,37070,45440,60440,68940,85180,8.5,9.5
